,brent
2020-08-19,35.21
2020-08-20,35.39
2020-08-21,35.54
2020-08-24,35.9
2020-08-25,36.1
2020-08-26,36.29
2020-08-27,36.48
2020-08-28,36.61
2020-08-31,37.07
2020-09-01,37.15
2020-09-02,37.28
2020-09-03,37.32
2020-09-04,37.44
2020-09-07,37.83
2020-09-08,37.87
2020-09-09,37.95
2020-09-10,38.11
2020-09-11,38.16
2020-09-14,38.46
2020-09-15,38.52
2020-09-16,38.68
2020-09-17,38.69
2020-09-18,38.76
2020-09-21,39.17
2020-09-22,39.31
2020-09-23,39.48
2020-09-24,39.57
2020-09-25,39.69
2020-09-28,40.1
2020-09-29,40.24
2020-09-30,40.37
2020-10-01,40.54
2020-10-02,40.74
2020-10-05,41.0
2020-10-06,41.17
2020-10-07,41.29
2020-10-08,41.4
2020-10-09,41.47
2020-10-12,41.81
2020-10-13,41.95
2020-10-14,42.08
2020-10-15,42.24
2020-10-16,42.25
2020-10-19,42.65
2020-10-20,42.78
2020-10-21,42.98
2020-10-22,43.0
2020-10-23,43.17
2020-10-26,43.49
2020-10-27,43.51
2020-10-28,43.68
2020-10-29,43.74
2020-10-30,43.82
2020-11-02,44.22
2020-11-03,44.36
2020-11-04,44.36
2020-11-05,44.43
2020-11-06,44.48
2020-11-09,44.78
2020-11-10,44.89
2020-11-11,44.97
2020-11-12,45.19
2020-11-13,45.21
2020-11-16,45.66
2020-11-17,45.87
2020-11-18,45.94
2020-11-19,46.11
2020-11-20,46.14
2020-11-23,46.58
2020-11-24,46.62
2020-11-25,46.75
2020-11-26,46.89
2020-11-27,47.03
2020-11-30,47.34
2020-12-01,47.38
2020-12-02,47.43
2020-12-03,47.53
2020-12-04,47.72
2020-12-07,48.06
2020-12-08,48.3
2020-12-09,48.36
2020-12-10,48.48
2020-12-11,48.63
2020-12-14,49.03
2020-12-15,49.05
2020-12-16,49.17
2020-12-17,49.28
2020-12-18,49.2
2020-12-21,49.62
2020-12-22,49.83
2020-12-23,49.88
2020-12-24,49.96
2020-12-25,50.06
2020-12-28,50.41
2020-12-29,50.47
2020-12-30,50.57
2020-12-31,50.75
2021-01-01,50.83
2021-01-04,51.32
2021-01-05,51.39
2021-01-06,51.55
2021-01-07,51.68
2021-01-08,51.82
2021-01-11,52.19
2021-01-12,52.36
2021-01-13,52.54
2021-01-14,52.71
2021-01-15,52.8
2021-01-18,53.09
2021-01-19,53.14
2021-01-20,53.25
2021-01-21,53.35
2021-01-22,53.3
2021-01-25,53.55
2021-01-26,53.52
2021-01-27,53.73
2021-01-28,53.77
2021-01-29,53.85
2021-02-01,54.25
2021-02-02,54.25
2021-02-03,54.54
2021-02-04,54.66
2021-02-05,54.92
2021-02-08,55.41
2021-02-09,55.55
2021-02-10,55.68
2021-02-11,55.83
2021-02-12,55.91
2021-02-15,56.27
2021-02-16,56.38
2021-02-17,56.42
2021-02-18,56.68
2021-02-19,56.89
2021-02-22,57.24
2021-02-23,57.48
2021-02-24,57.75
2021-02-25,57.71
2021-02-26,57.97
2021-03-01,58.2
2021-03-02,58.55
2021-03-03,58.79
2021-03-04,59.06
2021-03-05,59.41
2021-03-08,59.62
2021-03-09,59.77
2021-03-10,59.75
2021-03-11,59.63
2021-03-12,59.76
2021-03-15,60.23
2021-03-16,60.41
2021-03-17,60.51
2021-03-18,60.47
2021-03-19,60.64
2021-03-22,61.15
2021-03-23,61.29
2021-03-24,61.52
2021-03-25,61.9
2021-03-26,61.96
2021-03-29,62.59
2021-03-30,62.5
2021-03-31,62.87
2021-04-01,62.93
2021-04-02,63.08
2021-04-05,63.42
2021-04-06,63.45
2021-04-07,63.56
2021-04-08,63.43
2021-04-09,63.59
2021-04-12,63.81
2021-04-13,63.9
2021-04-14,63.96
2021-04-15,63.97
2021-04-16,64.03
2021-04-19,64.38
2021-04-20,64.48
2021-04-21,64.59
2021-04-22,64.62
2021-04-23,64.76
2021-04-26,65.27
2021-04-27,65.37
2021-04-28,65.48
2021-04-29,65.48
2021-04-30,65.53
2021-05-03,65.94
2021-05-04,66.0
2021-05-05,66.2
2021-05-06,66.5
2021-05-07,66.65
2021-05-10,67.12
2021-05-11,67.28
2021-05-12,67.43
2021-05-13,67.67
2021-05-14,67.87
2021-05-17,68.25
2021-05-18,68.61
2021-05-19,68.61
2021-05-20,68.84
2021-05-21,69.14
2021-05-24,69.44
2021-05-25,69.46
2021-05-26,69.61
2021-05-27,69.72
2021-05-28,69.73
2021-05-31,70.11
2021-06-01,70.3
2021-06-02,70.39
2021-06-03,70.52
2021-06-04,70.81
2021-06-07,71.19
2021-06-08,71.35
2021-06-09,71.36
2021-06-10,71.52
2021-06-11,71.52
2021-06-14,71.93
2021-06-15,71.98
2021-06-16,72.14
2021-06-17,72.16
2021-06-18,72.31
2021-06-21,72.82
2021-06-22,72.93
2021-06-23,73.1
2021-06-24,73.27
2021-06-25,73.44
2021-06-28,73.79
2021-06-29,73.95
2021-06-30,74.08
2021-07-01,74.22
2021-07-02,74.15
2021-07-05,74.48
2021-07-06,74.68
2021-07-07,74.85
2021-07-08,75.03
2021-07-09,75.16
2021-07-12,75.17
2021-07-13,75.19
2021-07-14,75.08
2021-07-15,75.38
2021-07-16,75.54
2021-07-19,75.65
2021-07-20,75.82
2021-07-21,75.98
2021-07-22,76.05
2021-07-23,76.09
2021-07-26,76.25
2021-07-27,76.24
2021-07-28,76.31
2021-07-29,76.5
2021-07-30,76.49
2021-08-02,76.77
2021-08-03,76.67
2021-08-04,76.76
2021-08-05,76.87
2021-08-06,76.87
2021-08-09,76.97
2021-08-10,77.16
2021-08-11,77.37
2021-08-12,77.22
2021-08-13,77.22
2021-08-16,77.26
2021-08-17,77.36
2021-08-18,77.63
2021-08-19,77.73
2021-08-20,77.8
2021-08-23,78.03
2021-08-24,77.99
2021-08-25,78.22
2021-08-26,78.49
2021-08-27,78.62
2021-08-30,78.69
2021-08-31,78.41
2021-09-01,78.51
2021-09-02,78.71
2021-09-03,78.71
2021-09-06,78.74
2021-09-07,78.85
2021-09-08,79.02
2021-09-09,79.03
2021-09-10,79.05
2021-09-13,79.38
2021-09-14,79.52
2021-09-15,79.78
2021-09-16,79.86
2021-09-17,79.95
2021-09-20,80.17
2021-09-21,80.36
2021-09-22,80.06
2021-09-23,80.21
2021-09-24,80.3
2021-09-27,80.6
2021-09-28,80.84
2021-09-29,80.74
2021-09-30,80.72
2021-10-01,80.84
2021-10-04,81.91
2021-10-05,82.24
2021-10-06,82.61
2021-10-07,83.03
2021-10-08,83.5
2021-10-11,84.43
2021-10-12,84.68
2021-10-13,84.83
2021-10-14,85.15
2021-10-15,85.42
2021-10-18,86.37
2021-10-19,86.74
2021-10-20,87.0
2021-10-21,87.32
2021-10-22,87.61
2021-10-25,88.57
2021-10-26,88.83
2021-10-27,89.19
2021-10-28,89.62
2021-10-29,89.99
2021-11-01,91.06
2021-11-02,91.4
2021-11-03,91.87
2021-11-04,92.12
2021-11-05,92.35
2021-11-08,93.29
2021-11-09,93.37
2021-11-10,93.71
2021-11-11,94.19
2021-11-12,94.72
2021-11-15,95.62
2021-11-16,95.9
2021-11-17,96.19
2021-11-18,96.37
2021-11-19,96.83
2021-11-22,97.72
2021-11-23,98.17
2021-11-24,98.54
2021-11-25,98.94
2021-11-26,99.34
2021-11-29,100.37
2021-11-30,101.0
2021-12-01,101.53
2021-12-02,101.67
2021-12-03,102.1
2021-12-06,103.07
2021-12-07,103.7
2021-12-08,104.01
2021-12-09,104.32
2021-12-10,104.88
2021-12-13,105.84
2021-12-14,106.17
2021-12-15,106.44
2021-12-16,106.65
2021-12-17,107.1
2021-12-20,108.2
2021-12-21,108.54
2021-12-22,108.81
2021-12-23,108.96
2021-12-24,109.23
2021-12-27,110.27
2021-12-28,110.53
2021-12-29,110.82
2021-12-30,110.92
2021-12-31,111.11
2022-01-03,111.96
2022-01-04,112.16
2022-01-05,112.39
2022-01-06,112.78
2022-01-07,113.24
2022-01-10,114.0
2022-01-11,114.39
2022-01-12,114.96
2022-01-13,115.3
2022-01-14,115.56
2022-01-17,116.4
2022-01-18,116.35
2022-01-19,116.82
2022-01-20,117.25
2022-01-21,117.77
2022-01-24,118.6
2022-01-25,118.89
2022-01-26,119.21
2022-01-27,119.82
2022-01-28,119.96
2022-01-31,121.1
2022-02-01,121.63
2022-02-02,121.85
2022-02-03,122.09
2022-02-04,122.41
2022-02-07,123.59
2022-02-08,123.88
2022-02-09,124.35
2022-02-10,124.47
2022-02-11,124.41
2022-02-14,125.33
2022-02-15,125.51
2022-02-16,125.74
2022-02-17,125.64
2022-02-18,126.1
2022-02-21,127.22
2022-02-22,127.6
2022-02-23,127.98
2022-02-24,128.54
2022-02-25,128.66
2022-02-28,129.48
2022-03-01,129.93
2022-03-02,130.42
2022-03-03,130.85
2022-03-04,131.16
2022-03-07,132.27
2022-03-08,132.49
2022-03-09,132.1
2022-03-10,132.12
2022-03-11,131.57
2022-03-14,131.19
2022-03-15,130.91
2022-03-16,131.0
2022-03-17,130.73
2022-03-18,130.35
2022-03-21,129.62
2022-03-22,129.39
2022-03-23,129.24
2022-03-24,129.15
2022-03-25,128.88
2022-03-28,128.37
2022-03-29,128.41
2022-03-30,128.25
2022-03-31,128.08
2022-04-01,127.68
2022-04-04,127.35
2022-04-05,127.19
2022-04-06,127.14
2022-04-07,127.04
2022-04-08,126.65
2022-04-11,126.26
2022-04-12,126.08
2022-04-13,125.93
2022-04-14,125.93
2022-04-15,125.68
2022-04-18,125.07
2022-04-19,124.79
2022-04-20,124.82
2022-04-21,124.85
2022-04-22,124.54
2022-04-25,123.78
2022-04-26,123.64
2022-04-27,123.3
2022-04-28,122.96
2022-04-29,122.85
2022-05-02,122.35
2022-05-03,122.0
2022-05-04,121.81
2022-05-05,121.7
2022-05-06,121.48
2022-05-09,120.79
2022-05-10,120.68
2022-05-11,120.61
2022-05-12,120.47
2022-05-13,120.17
2022-05-16,119.93
2022-05-17,119.57
2022-05-18,119.51
2022-05-19,119.6
2022-05-20,119.29
2022-05-23,118.84
2022-05-24,118.85
2022-05-25,118.71
2022-05-26,118.79
2022-05-27,118.39
2022-05-30,118.09
2022-05-31,118.3
2022-06-01,118.09
2022-06-02,118.0
2022-06-03,117.95
2022-06-06,117.67
2022-06-07,117.59
2022-06-08,117.09
2022-06-09,117.0
2022-06-10,116.82
2022-06-13,116.2
2022-06-14,116.15
2022-06-15,116.03
2022-06-16,115.86
2022-06-17,115.63
2022-06-20,114.9
2022-06-21,114.64
2022-06-22,114.51
2022-06-23,114.06
2022-06-24,113.97
2022-06-27,113.6
2022-06-28,113.45
2022-06-29,113.46
2022-06-30,113.39
2022-07-01,113.27
2022-07-04,112.86
2022-07-05,112.73
2022-07-06,112.77
2022-07-07,112.82
2022-07-08,113.02
2022-07-11,112.66
2022-07-12,112.35
2022-07-13,112.08
2022-07-14,112.06
2022-07-15,111.82
2022-07-18,111.5
2022-07-19,111.21
2022-07-20,110.84
2022-07-21,110.79
2022-07-22,110.88
2022-07-25,110.45
2022-07-26,110.3
2022-07-27,109.94
2022-07-28,109.84
2022-07-29,109.8
2022-08-01,109.29
2022-08-02,109.0
2022-08-03,108.63
2022-08-04,108.24
2022-08-05,108.22
2022-08-08,107.55
2022-08-09,107.28
2022-08-10,107.28
2022-08-11,107.38
2022-08-12,106.99
2022-08-15,106.67
2022-08-16,106.34
2022-08-17,106.3
2022-08-18,105.91
2022-08-19,105.61
2022-08-22,105.22
2022-08-23,104.98
2022-08-24,104.72
2022-08-25,104.64
2022-08-26,104.37
2022-08-29,103.84
2022-08-30,103.52
2022-08-31,103.24
2022-09-01,103.16
2022-09-02,103.0
2022-09-05,102.74
2022-09-06,102.43
2022-09-07,102.22
2022-09-08,102.1
2022-09-09,102.01
2022-09-12,101.38
2022-09-13,100.89
2022-09-14,100.84
2022-09-15,100.74
2022-09-16,100.71
2022-09-19,100.04
2022-09-20,99.92
2022-09-21,99.75
2022-09-22,99.35
2022-09-23,99.03
2022-09-26,98.59
2022-09-27,98.67
2022-09-28,98.4
2022-09-29,98.08
2022-09-30,97.82
2022-10-03,97.4
2022-10-04,97.1
2022-10-05,97.08
2022-10-06,96.69
2022-10-07,96.82
2022-10-10,96.48
2022-10-11,96.46
2022-10-12,96.17
2022-10-13,96.17
2022-10-14,96.0
2022-10-17,95.5
2022-10-18,95.39
2022-10-19,95.14
2022-10-20,95.08
2022-10-21,94.81
2022-10-24,94.26
2022-10-25,94.03
2022-10-26,93.99
2022-10-27,94.15
2022-10-28,93.84
2022-10-31,93.32
2022-11-01,93.36
2022-11-02,93.18
2022-11-03,92.97
2022-11-04,92.74
2022-11-07,92.19
2022-11-08,91.85
2022-11-09,91.79
2022-11-10,91.76
2022-11-11,91.61
2022-11-14,91.01
2022-11-15,91.02
2022-11-16,90.92
2022-11-17,91.1
2022-11-18,91.1
2022-11-21,90.65
2022-11-22,90.61
2022-11-23,90.81
2022-11-24,90.57
2022-11-25,90.39
2022-11-28,90.0
2022-11-29,89.72
2022-11-30,89.6
2022-12-01,89.35
2022-12-02,89.31
2022-12-05,88.89
2022-12-06,88.69
2022-12-07,88.62
2022-12-08,88.43
2022-12-09,88.28
2022-12-12,87.84
2022-12-13,87.48
2022-12-14,87.18
2022-12-15,87.2
2022-12-16,87.04
2022-12-19,86.37
2022-12-20,86.27
2022-12-21,86.26
2022-12-22,86.04
2022-12-23,85.48
2022-12-26,85.13
2022-12-27,84.91
2022-12-28,84.76
2022-12-29,84.58
2022-12-30,84.36
2023-01-02,84.06
2023-01-03,83.86
2023-01-04,83.75
2023-01-05,83.9
2023-01-06,83.68
2023-01-09,83.49
2023-01-10,83.6
2023-01-11,83.67
2023-01-12,83.48
2023-01-13,83.25
2023-01-16,82.88
2023-01-17,82.95
2023-01-18,82.68
2023-01-19,82.49
2023-01-20,82.19
2023-01-23,81.85
2023-01-24,81.68
2023-01-25,81.36
2023-01-26,81.1
2023-01-27,80.81
2023-01-30,80.65
2023-01-31,80.55
2023-02-01,80.65
2023-02-02,80.56
2023-02-03,80.4
2023-02-06,80.26
2023-02-07,80.39
2023-02-08,80.22
2023-02-09,80.13
2023-02-10,80.03
2023-02-13,79.88
2023-02-14,79.98
2023-02-15,79.85
2023-02-16,79.71
2023-02-17,79.54
2023-02-20,79.2
2023-02-21,79.08
2023-02-22,79.0
2023-02-23,78.94
2023-02-24,79.01
2023-02-27,78.88
2023-02-28,78.59
2023-03-01,78.62
2023-03-02,78.34
2023-03-03,78.37
2023-03-06,78.17
2023-03-07,78.06
2023-03-08,78.04
2023-03-09,77.92
2023-03-10,77.9
2023-03-13,77.62
2023-03-14,77.78
2023-03-15,77.67
2023-03-16,77.56
2023-03-17,77.58
2023-03-20,77.59
2023-03-21,77.45
2023-03-22,77.4
2023-03-23,77.56
2023-03-24,77.47
2023-03-27,77.26
2023-03-28,77.0
2023-03-29,77.1
2023-03-30,77.02
2023-03-31,77.07
2023-04-03,76.81
2023-04-04,76.78
2023-04-05,76.69
2023-04-06,76.53
2023-04-07,76.51
2023-04-10,76.23
2023-04-11,76.14
2023-04-12,76.11
2023-04-13,76.45
2023-04-14,76.38
2023-04-17,76.06
2023-04-18,76.01
2023-04-19,75.99
2023-04-20,75.84
2023-04-21,75.68
2023-04-24,75.41
2023-04-25,75.12
2023-04-26,74.88
2023-04-27,74.91
2023-04-28,74.99
2023-05-01,74.71
2023-05-02,74.61
2023-05-03,74.66
2023-05-04,74.51
2023-05-05,74.42
2023-05-08,74.19
2023-05-09,74.09
2023-05-10,73.97
2023-05-11,73.95
2023-05-12,73.95
2023-05-15,73.73
2023-05-16,73.63
2023-05-17,73.64
2023-05-18,73.74
2023-05-19,73.7
2023-05-22,73.58
2023-05-23,73.4
2023-05-24,73.29
2023-05-25,73.18
2023-05-26,73.13
2023-05-29,73.08
2023-05-30,72.95
2023-05-31,73.07
2023-06-01,72.98
2023-06-02,73.17
2023-06-05,73.61
2023-06-06,73.85
2023-06-07,74.05
2023-06-08,74.1
2023-06-09,74.32
2023-06-12,75.11
2023-06-13,75.37
2023-06-14,75.46
2023-06-15,75.75
2023-06-16,75.91
2023-06-19,76.62
2023-06-20,76.85
2023-06-21,77.17
2023-06-22,77.32
2023-06-23,77.55
2023-06-26,78.04
2023-06-27,78.21
2023-06-28,78.25
2023-06-29,78.36
2023-06-30,78.65
2023-07-03,79.11
2023-07-04,79.18
2023-07-05,79.39
2023-07-06,79.54
2023-07-07,79.66
2023-07-10,80.16
2023-07-11,80.38
2023-07-12,80.58
2023-07-13,80.81
2023-07-14,81.07
2023-07-17,81.77
2023-07-18,82.0
2023-07-19,82.19
2023-07-20,82.34
2023-07-21,82.51
2023-07-24,83.33
2023-07-25,83.62
2023-07-26,83.94
2023-07-27,84.28
2023-07-28,84.42
2023-07-31,85.04
2023-08-01,85.11
2023-08-02,85.22
2023-08-03,85.28
2023-08-04,85.52
2023-08-07,85.94
2023-08-08,86.16
2023-08-09,86.39
2023-08-10,86.51
2023-08-11,86.86
2023-08-14,87.41
2023-08-15,87.55
2023-08-16,87.89
2023-08-17,88.26
2023-08-18,88.25
2023-08-21,88.91
2023-08-22,89.07
2023-08-23,89.38
2023-08-24,89.61
2023-08-25,89.91
2023-08-28,90.47
2023-08-29,90.61
2023-08-30,90.69
2023-08-31,90.8
2023-09-01,90.99
2023-09-04,90.66
2023-09-05,90.6
2023-09-06,90.32
2023-09-07,90.36
2023-09-08,90.15
2023-09-11,89.68
2023-09-12,89.8
2023-09-13,89.96
2023-09-14,89.85
2023-09-15,89.56
2023-09-18,89.2
2023-09-19,89.04
2023-09-20,89.01
2023-09-21,88.86
2023-09-22,88.66
2023-09-25,88.41
2023-09-26,88.31
2023-09-27,88.29
2023-09-28,88.06
2023-09-29,87.86
2023-10-02,87.51
2023-10-03,87.46
2023-10-04,87.38
2023-10-05,87.25
2023-10-06,87.08
2023-10-09,86.89
2023-10-10,86.82
2023-10-11,86.68
2023-10-12,86.54
2023-10-13,86.34
2023-10-16,86.14
2023-10-17,85.6
2023-10-18,85.42
2023-10-19,85.24
2023-10-20,85.18
2023-10-23,84.52
2023-10-24,84.54
2023-10-25,84.43
2023-10-26,84.4
2023-10-27,84.42
2023-10-30,84.02
2023-10-31,83.92
2023-11-01,83.78
2023-11-02,83.59
2023-11-03,83.73
2023-11-06,83.44
2023-11-07,83.36
2023-11-08,83.14
2023-11-09,83.05
2023-11-10,83.11
2023-11-13,82.64
2023-11-14,82.53
2023-11-15,82.45
2023-11-16,82.46
2023-11-17,82.17
