,usdrub
2020-01-07,61.52
2020-01-08,61.47
2020-01-09,61.44
2020-01-10,61.79
2020-01-13,62.55
2020-01-14,62.84
2020-01-15,63.12
2020-01-16,63.41
2020-01-17,63.68
2020-01-20,64.52
2020-01-21,64.8
2020-01-22,65.05
2020-01-23,65.33
2020-01-24,65.61
2020-01-27,66.37
2020-01-28,66.65
2020-01-29,66.9
2020-01-30,67.17
2020-01-31,67.49
2020-02-03,68.25
2020-02-04,68.52
2020-02-05,68.75
2020-02-06,69.09
2020-02-07,69.28
2020-02-10,70.14
2020-02-11,70.49
2020-02-12,70.74
2020-02-13,70.97
2020-02-14,71.31
2020-02-17,72.09
2020-02-18,72.34
2020-02-19,72.64
2020-02-20,72.88
2020-02-21,73.0
2020-02-24,73.78
2020-02-25,73.89
2020-02-26,74.16
2020-02-27,74.34
2020-02-28,74.68
2020-03-02,75.44
2020-03-03,75.78
2020-03-04,75.97
2020-03-05,76.2
2020-03-06,76.52
2020-03-09,77.38
2020-03-10,77.65
2020-03-11,77.82
2020-03-12,78.17
2020-03-13,78.38
2020-03-16,79.37
2020-03-17,79.55
2020-03-18,79.69
2020-03-19,79.7
2020-03-20,79.67
2020-03-23,79.6
2020-03-24,79.59
2020-03-25,79.59
2020-03-26,79.5
2020-03-27,79.44
2020-03-30,79.39
2020-03-31,79.42
2020-04-01,79.43
2020-04-02,79.33
2020-04-03,79.28
2020-04-06,79.22
2020-04-07,79.12
2020-04-08,79.09
2020-04-09,79.11
2020-04-10,79.13
2020-04-13,79.06
2020-04-14,79.26
2020-04-15,79.28
2020-04-16,79.01
2020-04-17,78.99
2020-04-20,79.03
2020-04-21,79.1
2020-04-22,78.98
2020-04-23,79.03
2020-04-24,79.07
2020-04-27,79.05
2020-04-28,78.88
2020-04-29,78.9
2020-04-30,78.85
2020-05-01,78.76
2020-05-04,78.75
2020-05-05,78.88
2020-05-06,78.97
2020-05-07,78.91
2020-05-08,78.91
2020-05-11,78.78
2020-05-12,78.66
2020-05-13,78.68
2020-05-14,78.62
2020-05-15,78.62
2020-05-18,78.52
2020-05-19,78.52
2020-05-20,78.48
2020-05-21,78.45
2020-05-22,78.48
2020-05-25,78.3
2020-05-26,78.24
2020-05-27,78.04
2020-05-28,78.06
2020-05-29,77.86
2020-06-01,77.6
2020-06-02,77.54
2020-06-03,77.44
2020-06-04,77.29
2020-06-05,77.32
2020-06-08,77.28
2020-06-09,77.18
2020-06-10,77.08
2020-06-11,77.11
2020-06-12,77.12
2020-06-15,77.04
2020-06-16,76.95
2020-06-17,76.81
2020-06-18,76.79
2020-06-19,76.77
2020-06-22,76.67
2020-06-23,76.54
2020-06-24,76.64
2020-06-25,76.67
2020-06-26,76.56
2020-06-29,76.52
2020-06-30,76.43
2020-07-01,76.48
2020-07-02,76.48
2020-07-03,76.46
2020-07-06,76.48
2020-07-07,76.34
2020-07-08,76.23
2020-07-09,76.28
2020-07-10,76.41
2020-07-13,76.34
2020-07-14,76.37
2020-07-15,76.37
2020-07-16,76.25
2020-07-17,76.25
2020-07-20,76.14
2020-07-21,76.1
2020-07-22,76.2
2020-07-23,76.19
2020-07-24,76.33
2020-07-27,76.21
2020-07-28,76.14
2020-07-29,76.09
2020-07-30,75.93
2020-07-31,75.9
2020-08-03,75.85
2020-08-04,75.76
2020-08-05,75.79
2020-08-06,75.72
2020-08-07,75.64
2020-08-10,75.55
2020-08-11,75.55
2020-08-12,75.49
2020-08-13,75.34
2020-08-14,75.2
2020-08-17,75.16
2020-08-18,75.15
2020-08-19,75.05
2020-08-20,75.04
2020-08-21,74.88
2020-08-24,74.75
2020-08-25,74.84
2020-08-26,74.6
2020-08-27,74.69
2020-08-28,74.63
2020-08-31,74.53
2020-09-01,74.54
2020-09-02,74.45
2020-09-03,74.42
2020-09-04,74.3
2020-09-07,74.22
2020-09-08,74.19
2020-09-09,74.24
2020-09-10,74.15
2020-09-11,74.13
2020-09-14,73.98
2020-09-15,74.0
2020-09-16,74.04
2020-09-17,73.92
2020-09-18,73.81
2020-09-21,73.77
2020-09-22,73.75
2020-09-23,73.75
2020-09-24,73.63
2020-09-25,73.62
2020-09-28,73.57
2020-09-29,73.49
2020-09-30,73.3
2020-10-01,73.26
2020-10-02,73.22
2020-10-05,73.21
2020-10-06,73.13
2020-10-07,73.18
2020-10-08,73.28
2020-10-09,73.24
2020-10-12,73.19
2020-10-13,73.25
2020-10-14,73.29
2020-10-15,73.15
2020-10-16,73.06
2020-10-19,72.92
2020-10-20,72.97
2020-10-21,72.92
2020-10-22,72.89
2020-10-23,72.86
2020-10-26,72.77
2020-10-27,72.74
2020-10-28,72.69
2020-10-29,72.63
2020-10-30,72.57
2020-11-02,72.52
2020-11-03,72.47
2020-11-04,72.46
2020-11-05,72.51
2020-11-06,72.5
2020-11-09,72.51
2020-11-10,72.45
2020-11-11,72.45
2020-11-12,72.36
2020-11-13,72.28
2020-11-16,72.14
2020-11-17,72.14
2020-11-18,72.08
2020-11-19,72.05
2020-11-20,72.04
2020-11-23,72.11
2020-11-24,72.08
2020-11-25,72.01
2020-11-26,71.93
2020-11-27,71.94
2020-11-30,71.86
2020-12-01,71.79
2020-12-02,71.71
2020-12-03,71.74
2020-12-04,71.7
2020-12-07,71.67
2020-12-08,71.66
2020-12-09,71.67
2020-12-10,71.55
2020-12-11,71.53
2020-12-14,71.48
2020-12-15,71.59
2020-12-16,71.61
2020-12-17,71.59
2020-12-18,71.64
2020-12-21,71.69
2020-12-22,71.65
2020-12-23,71.77
2020-12-24,71.74
2020-12-25,71.75
2020-12-28,71.79
2020-12-29,71.73
2020-12-30,71.61
2020-12-31,71.72
2021-01-01,71.75
2021-01-04,71.7
2021-01-05,71.75
2021-01-06,71.75
2021-01-07,71.8
2021-01-08,71.76
2021-01-11,71.73
2021-01-12,71.67
2021-01-13,71.71
2021-01-14,71.67
2021-01-15,71.81
2021-01-18,71.87
2021-01-19,71.93
2021-01-20,71.98
2021-01-21,72.02
2021-01-22,72.07
2021-01-25,71.98
2021-01-26,72.05
2021-01-27,72.11
2021-01-28,72.11
2021-01-29,72.19
2021-02-01,72.09
2021-02-02,72.07
2021-02-03,72.04
2021-02-04,72.05
2021-02-05,71.98
2021-02-08,71.99
2021-02-09,71.98
2021-02-10,71.97
2021-02-11,71.95
2021-02-12,71.87
2021-02-15,71.76
2021-02-16,71.81
2021-02-17,71.85
2021-02-18,71.75
2021-02-19,71.81
2021-02-22,71.87
2021-02-23,71.83
2021-02-24,71.83
2021-02-25,71.85
2021-02-26,71.88
2021-03-01,71.79
2021-03-02,71.81
2021-03-03,71.84
2021-03-04,71.82
2021-03-05,71.93
2021-03-08,71.93
2021-03-09,71.91
2021-03-10,71.87
2021-03-11,71.99
2021-03-12,71.96
2021-03-15,71.97
2021-03-16,71.99
2021-03-17,71.88
2021-03-18,71.75
2021-03-19,71.86
2021-03-22,71.97
2021-03-23,71.97
2021-03-24,71.91
2021-03-25,71.82
2021-03-26,71.87
2021-03-29,71.81
2021-03-30,71.74
2021-03-31,71.67
2021-04-01,71.65
2021-04-02,71.63
2021-04-05,71.72
2021-04-06,71.77
2021-04-07,71.61
2021-04-08,71.56
2021-04-09,71.6
2021-04-12,71.64
2021-04-13,71.57
2021-04-14,71.59
2021-04-15,71.63
2021-04-16,71.61
2021-04-19,71.79
2021-04-20,71.71
2021-04-21,71.71
2021-04-22,71.72
2021-04-23,71.76
2021-04-26,71.77
2021-04-27,71.69
2021-04-28,71.79
2021-04-29,71.86
2021-04-30,71.85
2021-05-03,71.87
2021-05-04,72.01
2021-05-05,72.09
2021-05-06,72.08
2021-05-07,72.0
2021-05-10,71.87
2021-05-11,71.85
2021-05-12,71.95
2021-05-13,71.83
2021-05-14,71.8
2021-05-17,71.82
2021-05-18,71.8
2021-05-19,71.78
2021-05-20,71.83
2021-05-21,71.83
2021-05-24,71.86
2021-05-25,71.91
2021-05-26,71.91
2021-05-27,71.85
2021-05-28,71.91
2021-05-31,71.78
2021-06-01,71.76
2021-06-02,71.77
2021-06-03,71.81
2021-06-04,71.88
2021-06-07,71.92
2021-06-08,72.0
2021-06-09,72.01
2021-06-10,72.06
2021-06-11,72.16
2021-06-14,72.15
2021-06-15,72.16
2021-06-16,72.18
2021-06-17,72.16
2021-06-18,72.13
2021-06-21,72.07
2021-06-22,72.18
2021-06-23,72.25
2021-06-24,72.14
2021-06-25,72.05
2021-06-28,72.2
2021-06-29,72.15
2021-06-30,72.23
2021-07-01,72.23
2021-07-02,72.18
2021-07-05,72.23
2021-07-06,72.24
2021-07-07,72.33
2021-07-08,72.39
2021-07-09,72.38
2021-07-12,72.41
2021-07-13,72.44
2021-07-14,72.47
2021-07-15,72.5
2021-07-16,72.47
2021-07-19,72.5
2021-07-20,72.58
2021-07-21,72.38
2021-07-22,72.32
2021-07-23,72.3
2021-07-26,72.36
2021-07-27,72.35
2021-07-28,72.27
2021-07-29,72.23
2021-07-30,72.21
2021-08-02,72.39
2021-08-03,72.23
2021-08-04,72.26
2021-08-05,72.32
2021-08-06,72.37
2021-08-09,72.4
2021-08-10,72.38
2021-08-11,72.39
2021-08-12,72.27
2021-08-13,72.33
2021-08-16,72.49
2021-08-17,72.57
2021-08-18,72.63
2021-08-19,72.54
2021-08-20,72.53
2021-08-23,72.58
2021-08-24,72.56
2021-08-25,72.53
2021-08-26,72.49
2021-08-27,72.51
2021-08-30,72.48
2021-08-31,72.47
2021-09-01,72.49
2021-09-02,72.46
2021-09-03,72.59
2021-09-06,72.49
2021-09-07,72.43
2021-09-08,72.48
2021-09-09,72.49
2021-09-10,72.51
2021-09-13,72.7
2021-09-14,72.75
2021-09-15,72.7
2021-09-16,72.7
2021-09-17,72.66
2021-09-20,72.74
2021-09-21,72.75
2021-09-22,72.77
2021-09-23,72.76
2021-09-24,72.78
2021-09-27,72.87
2021-09-28,72.87
2021-09-29,72.89
2021-09-30,72.88
2021-10-01,72.79
2021-10-04,72.76
2021-10-05,72.81
2021-10-06,72.78
2021-10-07,72.66
2021-10-08,72.64
2021-10-11,72.76
2021-10-12,72.72
2021-10-13,72.82
2021-10-14,72.91
2021-10-15,72.97
2021-10-18,73.07
2021-10-19,72.97
2021-10-20,73.07
2021-10-21,73.03
2021-10-22,73.11
2021-10-25,73.16
2021-10-26,73.09
2021-10-27,73.19
2021-10-28,73.14
2021-10-29,73.21
2021-11-01,73.19
2021-11-02,73.24
2021-11-03,73.24
2021-11-04,73.27
2021-11-05,73.35
2021-11-08,73.47
2021-11-09,73.45
2021-11-10,73.44
2021-11-11,73.49
2021-11-12,73.47
2021-11-15,73.49
2021-11-16,73.53
2021-11-17,73.55
2021-11-18,73.59
2021-11-19,73.62
2021-11-22,73.66
2021-11-23,73.87
2021-11-24,74.0
2021-11-25,74.1
2021-11-26,73.9
2021-11-29,73.91
2021-11-30,73.87
2021-12-01,73.85
2021-12-02,73.86
2021-12-03,73.83
2021-12-06,73.74
2021-12-07,73.79
2021-12-08,73.82
2021-12-09,73.78
2021-12-10,73.8
2021-12-13,73.94
2021-12-14,73.98
2021-12-15,74.04
2021-12-16,74.08
2021-12-17,74.18
2021-12-20,74.3
2021-12-21,74.31
2021-12-22,74.46
2021-12-23,74.5
2021-12-24,74.57
2021-12-27,74.59
2021-12-28,74.67
2021-12-29,74.7
2021-12-30,74.7
2021-12-31,74.96
2022-01-03,75.46
2022-01-04,75.6
2022-01-05,75.71
2022-01-06,75.75
2022-01-07,75.85
2022-01-10,76.32
2022-01-11,76.5
2022-01-12,76.66
2022-01-13,76.77
2022-01-14,76.91
2022-01-17,77.26
2022-01-18,77.47
2022-01-19,77.5
2022-01-20,77.62
2022-01-21,77.67
2022-01-24,78.08
2022-01-25,78.3
2022-01-26,78.41
2022-01-27,78.51
2022-01-28,78.5
2022-01-31,78.95
2022-02-01,79.01
2022-02-02,79.07
2022-02-03,79.33
2022-02-04,79.58
2022-02-07,80.2
2022-02-08,80.39
2022-02-09,80.55
2022-02-10,80.69
2022-02-11,80.95
2022-02-14,81.47
2022-02-15,81.61
2022-02-16,81.74
2022-02-17,81.99
2022-02-18,82.26
2022-02-21,82.71
2022-02-22,82.83
2022-02-23,82.96
2022-02-24,83.11
2022-02-25,85.69
2022-02-28,93.68
2022-03-01,96.53
2022-03-02,99.24
2022-03-03,101.92
2022-03-04,104.63
2022-03-07,112.7
2022-03-08,115.37
2022-03-09,118.07
2022-03-10,120.76
2022-03-11,119.97
2022-03-14,117.97
2022-03-15,117.11
2022-03-16,116.2
2022-03-17,115.45
2022-03-18,114.76
2022-03-21,112.68
2022-03-22,111.88
2022-03-23,111.14
2022-03-24,110.51
2022-03-25,109.72
2022-03-28,107.49
2022-03-29,106.75
2022-03-30,106.21
2022-03-31,105.49
2022-04-01,104.89
2022-04-04,102.79
2022-04-05,101.88
2022-04-06,101.16
2022-04-07,100.23
2022-04-08,99.55
2022-04-11,97.28
2022-04-12,96.71
2022-04-13,96.04
2022-04-14,95.38
2022-04-15,94.84
2022-04-18,92.75
2022-04-19,92.1
2022-04-20,91.51
2022-04-21,90.76
2022-04-22,90.06
2022-04-25,88.06
2022-04-26,87.32
2022-04-27,86.73
2022-04-28,85.99
2022-04-29,85.21
2022-05-02,83.14
2022-05-03,82.35
2022-05-04,81.7
2022-05-05,81.0
2022-05-06,80.23
2022-05-09,78.18
2022-05-10,77.5
2022-05-11,76.79
2022-05-12,76.01
2022-05-13,75.29
2022-05-16,73.12
2022-05-17,72.53
2022-05-18,71.95
2022-05-19,71.07
2022-05-20,70.33
2022-05-23,68.18
2022-05-24,67.51
2022-05-25,66.84
2022-05-26,66.08
2022-05-27,65.5
2022-05-30,63.37
2022-05-31,62.62
2022-06-01,61.86
2022-06-02,61.88
2022-06-03,61.93
2022-06-06,62.02
2022-06-07,61.92
2022-06-08,61.99
2022-06-09,62.06
2022-06-10,62.11
2022-06-13,62.2
2022-06-14,62.24
2022-06-15,62.21
2022-06-16,62.28
2022-06-17,62.3
2022-06-20,62.23
2022-06-21,62.32
2022-06-22,62.29
2022-06-23,62.3
2022-06-24,62.3
2022-06-27,62.46
2022-06-28,62.45
2022-06-29,62.39
2022-06-30,62.46
2022-07-01,62.47
2022-07-04,62.51
2022-07-05,62.63
2022-07-06,62.65
2022-07-07,62.63
2022-07-08,62.58
2022-07-11,62.72
2022-07-12,62.76
2022-07-13,62.8
2022-07-14,62.89
2022-07-15,62.9
2022-07-18,63.16
2022-07-19,63.3
2022-07-20,63.32
2022-07-21,63.39
2022-07-22,63.38
2022-07-25,63.5
2022-07-26,63.44
2022-07-27,63.51
2022-07-28,63.61
2022-07-29,63.66
2022-08-01,63.82
2022-08-02,63.81
2022-08-03,63.86
2022-08-04,63.95
2022-08-05,63.92
2022-08-08,64.09
2022-08-09,64.14
2022-08-10,64.08
2022-08-11,64.25
2022-08-12,64.37
2022-08-15,64.57
2022-08-16,64.47
2022-08-17,64.48
2022-08-18,64.47
2022-08-19,64.52
2022-08-22,64.56
2022-08-23,64.49
2022-08-24,64.53
2022-08-25,64.6
2022-08-26,64.69
2022-08-29,64.8
2022-08-30,64.81
2022-08-31,64.91
2022-09-01,65.08
2022-09-02,65.07
2022-09-05,65.16
2022-09-06,65.2
2022-09-07,65.28
2022-09-08,65.37
2022-09-09,65.4
2022-09-12,65.53
2022-09-13,65.48
2022-09-14,65.57
2022-09-15,65.49
2022-09-16,65.49
2022-09-19,65.6
2022-09-20,65.61
2022-09-21,65.64
2022-09-22,65.76
2022-09-23,65.77
2022-09-26,65.9
2022-09-27,65.9
2022-09-28,65.97
2022-09-29,65.9
2022-09-30,65.93
2022-10-03,66.12
2022-10-04,66.09
2022-10-05,66.06
2022-10-06,66.15
2022-10-07,66.15
2022-10-10,66.29
2022-10-11,66.38
2022-10-12,66.34
2022-10-13,66.33
2022-10-14,66.44
2022-10-17,66.61
2022-10-18,66.66
2022-10-19,66.66
2022-10-20,66.65
2022-10-21,66.71
2022-10-24,66.78
2022-10-25,66.74
2022-10-26,66.86
2022-10-27,66.92
2022-10-28,66.91
2022-10-31,67.08
2022-11-01,67.01
2022-11-02,67.02
2022-11-03,67.15
2022-11-04,67.26
2022-11-07,67.33
2022-11-08,67.34
2022-11-09,67.37
2022-11-10,67.41
2022-11-11,67.47
2022-11-14,67.69
2022-11-15,67.76
2022-11-16,67.84
2022-11-17,67.86
2022-11-18,67.98
2022-11-21,68.04
2022-11-22,68.09
2022-11-23,68.04
2022-11-24,68.03
2022-11-25,68.04
2022-11-28,68.17
2022-11-29,68.1
2022-11-30,68.17
2022-12-01,68.2
2022-12-02,68.22
2022-12-05,68.34
2022-12-06,68.45
2022-12-07,68.41
2022-12-08,68.54
2022-12-09,68.64
2022-12-12,68.77
2022-12-13,68.77
2022-12-14,68.9
2022-12-15,68.87
2022-12-16,68.91
2022-12-19,69.0
2022-12-20,69.0
2022-12-21,69.03
2022-12-22,68.95
2022-12-23,69.14
2022-12-26,69.29
2022-12-27,69.39
2022-12-28,69.36
2022-12-29,69.31
2022-12-30,69.33
2023-01-02,69.52
2023-01-03,69.49
2023-01-04,69.65
2023-01-05,69.79
2023-01-06,69.79
2023-01-09,70.05
2023-01-10,70.06
2023-01-11,70.09
2023-01-12,70.22
2023-01-13,70.34
2023-01-16,70.6
2023-01-17,70.65
2023-01-18,70.71
2023-01-19,70.89
2023-01-20,70.92
2023-01-23,71.08
2023-01-24,71.19
2023-01-25,71.25
2023-01-26,71.3
2023-01-27,71.32
2023-01-30,71.54
2023-01-31,71.73
2023-02-01,71.78
2023-02-02,71.87
2023-02-03,71.96
2023-02-06,72.15
2023-02-07,72.16
2023-02-08,72.15
2023-02-09,72.28
2023-02-10,72.48
2023-02-13,72.51
2023-02-14,72.64
2023-02-15,72.65
2023-02-16,72.81
2023-02-17,72.87
2023-02-20,73.06
2023-02-21,73.16
2023-02-22,73.29
2023-02-23,73.39
2023-02-24,73.46
2023-02-27,73.57
2023-02-28,73.7
2023-03-01,73.64
2023-03-02,73.68
2023-03-03,73.94
2023-03-06,74.11
2023-03-07,74.27
2023-03-08,74.23
2023-03-09,74.3
2023-03-10,74.29
2023-03-13,74.31
2023-03-14,74.29
2023-03-15,74.44
2023-03-16,74.56
2023-03-17,74.57
2023-03-20,74.72
2023-03-21,74.74
2023-03-22,74.8
2023-03-23,74.82
2023-03-24,74.88
2023-03-27,75.14
2023-03-28,75.15
2023-03-29,75.18
2023-03-30,75.23
2023-03-31,75.32
2023-04-03,75.57
2023-04-04,75.6
2023-04-05,75.7
2023-04-06,75.83
2023-04-07,75.7
2023-04-10,76.06
2023-04-11,76.16
2023-04-12,76.18
2023-04-13,76.3
2023-04-14,76.25
2023-04-17,76.39
2023-04-18,76.46
2023-04-19,76.54
2023-04-20,76.57
2023-04-21,76.53
2023-04-24,76.69
2023-04-25,76.67
2023-04-26,76.77
2023-04-27,76.73
2023-04-28,76.75
2023-05-01,76.96
2023-05-02,76.8
2023-05-03,76.7
2023-05-04,76.69
2023-05-05,76.68
2023-05-08,76.92
2023-05-09,76.93
2023-05-10,76.98
2023-05-11,77.21
2023-05-12,77.27
2023-05-15,77.56
2023-05-16,77.66
2023-05-17,77.9
2023-05-18,77.98
2023-05-19,78.05
2023-05-22,78.27
2023-05-23,78.23
2023-05-24,78.19
2023-05-25,78.23
2023-05-26,78.32
2023-05-29,78.47
2023-05-30,78.51
2023-05-31,78.61
2023-06-01,78.6
2023-06-02,78.69
2023-06-05,78.69
2023-06-06,78.63
2023-06-07,78.65
2023-06-08,78.85
2023-06-09,78.9
2023-06-12,79.04
2023-06-13,79.09
2023-06-14,79.21
2023-06-15,79.19
2023-06-16,79.19
2023-06-19,79.33
2023-06-20,79.35
2023-06-21,79.47
2023-06-22,79.48
2023-06-23,79.48
2023-06-26,79.6
2023-06-27,79.69
2023-06-28,79.7
2023-06-29,79.88
2023-06-30,79.87
2023-07-03,79.97
2023-07-04,79.9
2023-07-05,80.1
2023-07-06,80.1
2023-07-07,80.11
2023-07-10,80.23
2023-07-11,80.26
2023-07-12,80.2
2023-07-13,80.23
2023-07-14,80.45
2023-07-17,80.45
2023-07-18,80.57
2023-07-19,80.68
2023-07-20,80.77
2023-07-21,81.0
2023-07-24,81.05
2023-07-25,81.06
2023-07-26,81.16
2023-07-27,81.12
2023-07-28,81.15
2023-07-31,81.39
2023-08-01,81.53
2023-08-02,81.56
2023-08-03,81.8
2023-08-04,81.85
2023-08-07,82.11
2023-08-08,82.05
2023-08-09,82.15
2023-08-10,82.17
2023-08-11,82.27
2023-08-14,82.33
2023-08-15,82.27
2023-08-16,82.31
2023-08-17,82.23
2023-08-18,82.37
2023-08-21,82.48
2023-08-22,82.56
2023-08-23,82.73
2023-08-24,82.64
2023-08-25,82.75
2023-08-28,82.88
2023-08-29,82.86
2023-08-30,82.82
2023-08-31,82.81
2023-09-01,82.85
2023-09-04,83.06
2023-09-05,83.22
2023-09-06,83.29
2023-09-07,83.42
2023-09-08,83.47
2023-09-11,83.65
2023-09-12,83.69
2023-09-13,83.69
2023-09-14,83.85
2023-09-15,83.91
2023-09-18,84.06
2023-09-19,84.19
2023-09-20,84.33
2023-09-21,84.34
2023-09-22,84.18
2023-09-25,84.48
2023-09-26,84.48
2023-09-27,84.42
2023-09-28,84.64
2023-09-29,84.65
2023-10-02,84.79
2023-10-03,84.79
2023-10-04,84.83
2023-10-05,84.95
2023-10-06,85.12
2023-10-09,85.32
2023-10-10,85.42
2023-10-11,85.41
2023-10-12,85.44
2023-10-13,85.51
2023-10-16,85.6
2023-10-17,85.62
2023-10-18,85.66
2023-10-19,85.76
2023-10-20,85.83
2023-10-23,86.01
2023-10-24,86.02
2023-10-25,85.99
2023-10-26,86.0
2023-10-27,86.1
2023-10-30,86.16
2023-10-31,86.29
2023-11-01,86.39
2023-11-02,86.43
2023-11-03,86.47
2023-11-06,86.5
2023-11-07,86.4
2023-11-08,86.47
2023-11-09,86.52
2023-11-10,86.49
2023-11-13,86.6
2023-11-14,86.59
2023-11-15,86.64
2023-11-16,86.63
